Sector,Indicator,Unit,Entity,Year,Variable,CO
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,World,2020,2_degree_avg,1.13
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,World,2020,2_degree_med,1.15
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,World,2020,2_degree_90th,0.93
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,World,2020,2_degree_max,0.81
Electricity,Electricity activity,kWh / cap,World,2020,2_degree_min,2820
Electricity,Electricity activity,kWh / cap,World,2020,2_degree_10th,3070
Electricity,Electricity activity,kWh / cap,World,2020,2_degree_avg,3480
Electricity,Electricity activity,kWh / cap,World,2020,2_degree_med,3470
Electricity,Electricity activity,kWh / cap,World,2020,2_degree_90th,3970
Electricity,Electricity activity,kWh / cap,World,2020,2_degree_max,4300
Electricity,Electricity renewable intensity,% renewables,World,2020,2_degree_min,0.154
Electricity,Electricity renewable intensity,% renewables,World,2020,2_degree_10th,0.191
Electricity,Electricity renewable intensity,% renewables,World,2020,2_degree_avg,0.247
Electricity,Electricity renewable intensity,% renewables,World,2020,2_degree_med,0.239
Electricity,Electricity renewable intensity,% renewables,World,2020,2_degree_90th,0.313
Electricity,Electricity renewable intensity,% renewables,World,2020,2_degree_max,0.476
Macro,Emissions per capita,tCO2e / cap,World,2020,2_degree_min,2.55
Macro,Emissions per capita,tCO2e / cap,World,2020,2_degree_10th,4.73
Macro,Emissions per capita,tCO2e / cap,World,2020,2_degree_avg,5.93
Macro,Emissions per capita,tCO2e / cap,World,2020,2_degree_med,6.17
Macro,Emissions per capita,tCO2e / cap,World,2020,2_degree_90th,6.96
Macro,Emissions per capita,tCO2e / cap,World,2020,2_degree_max,7.27
Macro,Primary energy demand per capita,GJ (primary) / cap,World,2020,2_degree_min,39
Macro,Primary energy demand per capita,GJ (primary) / cap,World,2020,2_degree_10th,59.5
Macro,Primary energy demand per capita,GJ (primary) / cap,World,2020,2_degree_avg,69.7
Macro,Primary energy demand per capita,GJ (primary) / cap,World,2020,2_degree_med,70.9
Macro,Primary energy demand per capita,GJ (primary) / cap,World,2020,2_degree_90th,78
Macro,Primary energy demand per capita,GJ (primary) / cap,World,2020,2_degree_max,80.4
Macro,Final energy demand per capita,GJ (final) / cap,World,2020,2_degree_min,34.1
Macro,Final energy demand per capita,GJ (final) / cap,World,2020,2_degree_10th,45.6
Macro,Final energy demand per capita,GJ (final) / cap,World,2020,2_degree_avg,53.1
Macro,Final energy demand per capita,GJ (final) / cap,World,2020,2_degree_med,53.3
Macro,Final energy demand per capita,GJ (final) / cap,World,2020,2_degree_90th,62.4
Macro,Final energy demand per capita,GJ (final) / cap,World,2020,2_degree_max,65.3
Macro,GDP per capita,thousand USD2012 (PPP) / cap,World,2020,2_degree_min,8.51
Macro,GDP per capita,thousand USD2012 (PPP) / cap,World,2020,2_degree_10th,8.87
Macro,GDP per capita,thousand USD2012 (PPP) / cap,World,2020,2_degree_avg,10.3
Macro,GDP per capita,thousand USD2012 (PPP) / cap,World,2020,2_degree_med,10.7
Macro,GDP per capita,thousand USD2012 (PPP) / cap,World,2020,2_degree_90th,11
Macro,GDP per capita,thousand USD2012 (PPP) / cap,World,2020,2_degree_max,11.5
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),World,2020,2_degree_min,0.289
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),World,2020,2_degree_10th,0.467
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),World,2020,2_degree_avg,0.578
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),World,2020,2_degree_med,0.576
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),World,2020,2_degree_90th,0.701
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),World,2020,2_degree_max,0.795
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),World,2020,2_degree_min,3.73
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),World,2020,2_degree_10th,4.55
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),World,2020,2_degree_avg,5.3
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),World,2020,2_degree_med,5.17
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),World,2020,2_degree_90th,6.6
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),World,2020,2_degree_max,6.97
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),World,2020,2_degree_min,2.82
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),World,2020,2_degree_10th,3.34
